City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Karibib,NA,2022-12-12 02:54:42,-21.9333,15.8333,13.66,63,75,1.3
1,Yellowknife,CA,2022-12-12 02:54:43,62.456,-114.3525,-22.71,84,100,2.06
2,Ushuaia,AR,2022-12-12 02:54:44,-54.8,-68.3,6.81,81,75,5.66
3,Otautau,NZ,2022-12-12 02:54:45,-46.15,168.0,17.47,63,87,2.48
4,Nanortalik,GL,2022-12-12 02:54:45,60.1432,-45.2371,-6.12,80,5,2.31
5,Lebu,CL,2022-12-12 02:54:46,-37.6167,-73.65,13.92,80,0,6.59
6,Yulara,AU,2022-12-12 02:54:47,-25.2406,130.9889,29.47,25,7,4.12
7,Dikson,RU,2022-12-12 02:54:48,73.5069,80.5464,-7.38,93,100,7.56
8,New Norfolk,AU,2022-12-12 02:54:49,-42.7826,147.0587,19.28,73,100,0.89
9,Mataura,NZ,2022-12-12 02:54:49,-46.1927,168.8643,17.49,48,63,2.2
10,Ranfurly,NZ,2022-12-12 02:54:50,-45.1333,170.1,21.73,60,51,3.56
11,Labuhan,ID,2022-12-12 02:54:51,-6.8844,112.2051,30.16,63,66,0.75
12,Tura,IN,2022-12-12 02:54:52,25.5198,90.2201,20.84,61,3,0.18
13,Sioux Lookout,CA,2022-12-12 02:54:53,50.1001,-91.917,-5.96,86,100,1.54
14,Busselton,AU,2022-12-12 02:54:54,-33.65,115.3333,22.52,36,0,4.07
15,Qaanaaq,GL,2022-12-12 02:54:55,77.484,-69.3632,-24.74,64,0,4.13
16,Vaini,TO,2022-12-12 02:54:56,-21.2,-175.2,26.09,89,75,6.69
17,Rikitea,PF,2022-12-12 02:54:57,-23.1203,-134.9692,24.65,80,4,8.86
18,Namatanai,PG,2022-12-12 02:54:58,-3.6667,152.4333,29.58,66,95,3.6
19,Iqaluit,CA,2022-12-12 02:54:59,63.7506,-68.5145,-14.15,77,100,1.03
20,Kindu,CD,2022-12-12 02:55:01,-2.95,25.95,20.38,99,92,0.54
21,Atambua,ID,2022-12-12 02:55:02,-9.1061,124.8925,30.28,57,68,2.34
22,Arraial Do Cabo,BR,2022-12-12 02:55:03,-22.9661,-42.0278,23.49,94,9,1.08
23,Otane,NZ,2022-12-12 02:50:10,-39.8833,176.6333,20.56,53,10,4.84
24,Powell,US,2022-12-12 02:55:05,40.1578,-83.0752,4.26,90,100,2.68
25,Ugoofaaru,MV,2022-12-12 02:55:06,5.6667,73.0,26.92,79,97,6.53
26,Adilcevaz,TR,2022-12-12 02:55:07,38.8039,42.7342,3.07,61,100,0.36
27,Chuy,UY,2022-12-12 02:51:12,-33.6971,-53.4616,22.74,66,28,1.34
28,Trincomalee,LK,2022-12-12 02:55:09,8.5711,81.2335,25.32,81,8,2.67
29,Kahului,US,2022-12-12 02:52:44,20.8947,-156.47,26.01,74,75,9.26
30,Bindura,ZW,2022-12-12 02:55:12,-17.3019,31.3306,17.87,82,0,0.96
31,Sao Joao Da Barra,BR,2022-12-12 02:55:13,-21.6403,-41.0511,23.55,94,3,2.25
32,Acapulco,MX,2022-12-12 02:50:32,16.8634,-99.8901,25.04,77,2,2.89
33,Honiara,SB,2022-12-12 02:52:37,-9.4333,159.95,29.63,71,99,2.01
34,Airai,TL,2022-12-12 02:55:17,-8.9266,125.4092,26.85,37,98,0.61
35,Esperance,AU,2022-12-12 02:55:18,-33.8667,121.9,17.32,50,0,4.77
36,Port Alfred,ZA,2022-12-12 02:55:20,-33.5906,26.891,22.63,84,79,13.08
37,Japura,ID,2022-12-12 02:55:21,-0.3167,102.35,29.23,66,96,1.36
38,Leningradskiy,RU,2022-12-12 02:55:22,69.3833,178.4167,-17.38,96,100,6.28
39,Otkaznoye,RU,2022-12-12 02:55:23,44.3264,43.8608,6.28,74,100,6.58
40,Cobija,BO,2022-12-12 02:55:24,-11.0267,-68.7692,23.09,97,100,0.75
41,Correntina,BR,2022-12-12 02:55:25,-13.3433,-44.6367,21.72,88,75,0.71
42,Nikolskoye,RU,2022-12-12 02:56:26,59.7035,30.7861,-6.06,90,100,6.7
43,Shelburne,CA,2022-12-12 02:56:27,44.0787,-80.2041,-1.75,98,97,1.95
44,Vila Velha,BR,2022-12-12 02:56:28,-20.3297,-40.2925,26.97,89,0,0.0
45,Hithadhoo,MV,2022-12-12 02:56:29,-0.6,73.0833,27.09,76,100,4.54
46,Beringovskiy,RU,2022-12-12 02:56:30,63.05,179.3167,-16.26,72,0,5.06
47,Onega,RU,2022-12-12 02:56:31,63.9061,38.1404,-20.05,96,42,1.51
48,Hermanus,ZA,2022-12-12 02:56:32,-34.4187,19.2345,21.56,90,100,7.48
49,Mar Del Plata,AR,2022-12-12 02:56:33,-38.0023,-57.5575,17.19,74,0,4.47
50,Jamestown,US,2022-12-12 02:52:14,42.097,-79.2353,0.95,72,100,3.6
51,Sterling,US,2022-12-12 02:56:35,39.0062,-77.4286,5.48,89,40,2.68
52,Mount Gambier,AU,2022-12-12 02:56:36,-37.8333,140.7667,16.18,52,60,7.75
53,Khatanga,RU,2022-12-12 02:56:37,71.9667,102.5,-17.89,94,100,6.76
54,Punta Arenas,CL,2022-12-12 02:56:38,-53.15,-70.9167,10.06,71,0,7.2
55,Ixtapa,MX,2022-12-12 02:51:40,20.7,-105.2,20.63,89,2,1.12
56,Atuona,PF,2022-12-12 02:56:40,-9.8,-139.0333,25.81,75,13,8.88
57,Sobolevo,RU,2022-12-12 02:56:41,54.4299,31.8996,2.32,100,100,4.55
58,Jasper,US,2022-12-12 02:51:59,37.2001,-94.3502,8.71,85,100,3.09
59,Albany,US,2022-12-12 02:51:58,42.6001,-73.9662,-1.18,91,100,0.45
60,Georgetown,MY,2022-12-12 02:56:33,5.4112,100.3354,28.83,80,20,1.03
61,Puerto Ayora,EC,2022-12-12 02:56:44,-0.7393,-90.3518,20.86,94,84,3.33
62,Dunedin,NZ,2022-12-12 02:56:45,-45.8742,170.5036,14.33,83,52,2.68
63,Hobart,AU,2022-12-12 02:56:46,-42.8794,147.3294,19.47,75,75,3.6
64,Awjilah,LY,2022-12-12 02:56:47,29.1081,21.2869,14.78,88,8,1.54
65,Hilo,US,2022-12-12 02:53:56,19.7297,-155.09,24.58,80,90,0.45
66,Abu Kamal,SY,2022-12-12 02:56:49,34.4506,40.9171,12.4,69,100,3.28
67,Constitucion,CL,2022-12-12 02:56:49,-35.3333,-72.4167,13.3,77,0,7.34
68,Clyde River,CA,2022-12-12 02:56:50,70.4692,-68.5914,-18.87,78,100,5.14
69,Broken Hill,AU,2022-12-12 02:56:51,-31.95,141.4333,22.02,21,0,10.27
70,Tasiilaq,GL,2022-12-12 02:56:52,65.6145,-37.6368,-9.09,53,1,1.39
71,Nizhnevartovsk,RU,2022-12-12 02:52:42,60.9344,76.5531,-29.99,69,0,3.13
72,Zeya,RU,2022-12-12 02:52:12,53.75,127.2667,-15.71,93,100,1.61
73,Saint-Philippe,RE,2022-12-12 02:56:54,-21.3585,55.7679,24.77,81,42,5.64
74,Bengkulu,ID,2022-12-12 02:56:56,-3.8004,102.2655,27.92,67,94,3.49
75,Saint Anthony,US,2022-12-12 02:56:58,45.0205,-93.218,0.05,81,69,2.44
