City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hermanus,ZA,66.79,light rain,-34.4187,19.2345,Aloe guest house
3,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti International Resort
4,Rikitea,PF,75.49,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
5,Hambantota,LK,70.14,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
6,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,Le Baril
7,La Virginia,CO,71.15,few clouds,4.8997,-75.8825,Restaurante y Hospedaje Matejal
8,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Mabassa
10,Dillon,US,50.25,clear sky,34.4166,-79.3712,Quality Inn
11,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,No hotel found
16,Punta Arenas,CL,51.91,scattered clouds,-53.15,-70.9167,Hotel Lacolet
17,Inirida,CO,72.55,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
20,Meulaboh,ID,75.54,overcast clouds,4.1363,96.1285,Hotel Meuligou
21,Cape Town,ZA,68.41,broken clouds,-33.9258,18.4232,Townhouse Hotel
22,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,losmen Surya
24,Victoria,HK,63.25,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
25,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
26,Namibe,AO,68.31,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
27,Butaritari,KI,81.52,scattered clouds,3.0707,172.7902,No hotel found
28,Busselton,AU,71.69,broken clouds,-33.65,115.3333,No hotel found
29,Wokha,IN,50.13,clear sky,26.1,94.2667,No hotel found
31,Arlit,NE,67.6,broken clouds,18.7369,7.3853,No hotel found
33,Caravelas,BR,74.07,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
35,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
36,Guatire,VE,67.75,scattered clouds,10.4762,-66.5427,Grand Hotel
37,Hilo,US,78.12,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
38,Awjilah,LY,64.89,overcast clouds,29.1081,21.2869,No hotel found
39,Honiara,SB,84.06,overcast clouds,-9.4333,159.95,King Solomon Hotel
40,Lorengau,PG,83.91,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
41,Bengkulu,ID,77.14,overcast clouds,-3.8004,102.2655,Dena Hotel
42,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,No hotel found
43,New Norfolk,AU,63.9,overcast clouds,-42.7826,147.0587,Woodbridge on the Derwent
45,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
46,Hendek,TR,55.49,overcast clouds,40.7994,30.7481,Öğretmenevi
50,Port Blair,IN,78.84,broken clouds,11.6667,92.75,Andaman Ocean Breeze
51,Carnarvon,AU,74.95,clear sky,-24.8667,113.6333,No hotel found
54,Kruisfontein,ZA,69.89,overcast clouds,-34.0033,24.7314,No hotel found
56,Bredasdorp,ZA,67.84,scattered clouds,-34.5322,20.0403,Victoria Hotel
57,Angoram,PG,79.39,overcast clouds,-4.0625,144.0661,No hotel found
58,Mataura,NZ,79.57,overcast clouds,-46.1927,168.8643,No hotel found
62,Constitucion,CL,59.72,clear sky,-35.3333,-72.4167,Hostal Alameda
66,Kapaa,US,82.38,light rain,22.0752,-159.319,Pono Kai Resort
67,Airai,TL,78.03,scattered clouds,-8.9266,125.4092,No hotel found
69,Ca Mau,VN,80.01,overcast clouds,9.1769,105.15,Khách sạn Song Ngọc
71,Boda,CF,70.57,overcast clouds,4.3189,17.4695,No hotel found
73,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Pebbles Inn
74,Puerto Baquerizo Moreno,EC,69.57,broken clouds,-0.9,-89.6,Dory's House
76,Castro,BR,66.02,moderate rain,-24.7911,-50.0119,Hotel Central Palace
77,Camana,PE,72.72,broken clouds,-16.6228,-72.7111,Caja Arequipa
80,Chuy,UY,59.13,scattered clouds,-33.6971,-53.4616,Alerces
81,Atambua,ID,86.27,few clouds,-9.1061,124.8925,Hotel Matahari
82,Atuona,PF,78.19,clear sky,-9.8,-139.0333,Pearl Resort
85,Muroto,JP,59.0,clear sky,33.2833,134.15,民宿うらしま
86,Santo Antonio Do Ica,BR,74.16,light rain,-3.1022,-67.9397,No hotel found
89,Lebu,CL,57.88,clear sky,-37.6167,-73.65,No hotel found
91,Mar Del Plata,AR,58.87,clear sky,-38.0023,-57.5575,Nuevo Ostende
93,Cockburn Town,TC,73.36,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
94,Kahului,US,77.31,broken clouds,20.8947,-156.47,Maui Seaside Hotel
95,Sainte-Rose,GP,76.17,overcast clouds,16.3324,-61.6979,No hotel found
96,Acapulco,MX,76.5,overcast clouds,16.8634,-99.8901,Hotel del Valle
98,Beloha,MG,72.59,broken clouds,-25.1667,45.05,No hotel found
102,Bluff,NZ,63.82,broken clouds,-46.6,168.3333,No hotel found
104,Lucapa,AO,65.16,light rain,-8.4192,20.7447,No hotel found
105,Pacific Grove,US,50.43,few clouds,36.6177,-121.9166,Pacific Grove Inn
106,Singarayakonda,IN,77.43,clear sky,15.25,80.0333,No hotel found
107,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Coco Villa
108,Mompos,CO,73.87,scattered clouds,9.2419,-74.4267,Casa Hotel Margareth
109,Sao Gabriel Da Cachoeira,BR,72.93,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
111,Kaitangata,NZ,70.07,broken clouds,-46.2817,169.8464,No hotel found
114,Baculin,PH,84.65,broken clouds,7.4525,126.5842,No hotel found
116,Brownwood,US,64.96,broken clouds,31.7093,-98.9912,Hampton Inn Brownwood
119,Tsabong,BW,71.51,clear sky,-26.0217,22.401,No hotel found
121,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,No hotel found
122,Mattru,SL,73.78,clear sky,7.6244,-11.8332,No hotel found
123,Port Alfred,ZA,71.44,overcast clouds,-33.5906,26.891,No hotel found
124,Jinxiang,CN,52.29,clear sky,27.4327,120.6062,No hotel found
126,East London,ZA,71.73,overcast clouds,-33.0153,27.9116,No hotel found
127,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Hotel SkylineInn
128,Vila Velha,BR,80.55,moderate rain,-20.3297,-40.2925,Hotel Prainha
129,Taltal,CL,67.46,scattered clouds,-25.4,-70.4833,Hostería Taltal
130,Ribeira Grande,PT,61.77,broken clouds,38.5167,-28.7,No hotel found
131,Isla Mujeres,MX,73.17,clear sky,21.2311,-86.731,Villa La Bella
139,San Patricio,US,74.17,overcast clouds,28.017,-97.5169,No hotel found
141,Bani Walid,LY,61.16,scattered clouds,31.7566,13.9942,فندق الزيتونة
143,Port Elizabeth,ZA,72.1,overcast clouds,-33.918,25.5701,Waterford Hotel
144,Tura,IN,63.86,clear sky,25.5198,90.2201,No hotel found
145,Axim,GH,77.36,light rain,4.8699,-2.2405,Axim Beach Hotel
146,Kavaratti,IN,80.44,light rain,10.5669,72.642,No hotel found
152,Whitianga,NZ,67.23,overcast clouds,-36.8333,175.7,No hotel found
153,Christchurch,NZ,72.41,few clouds,-43.5333,172.6333,Ibis Hotel Christchurch
156,Harper,LR,78.26,broken clouds,4.375,-7.7169,No hotel found
