City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,11.07,81,99,5.79,overcast clouds
1,Yinchuan,CN,38.4681,106.2731,20.98,32,4,5.88,clear sky
2,Hermanus,ZA,-34.4187,19.2345,66.79,95,64,5.61,light rain
3,Vaini,TO,-21.2,-175.2,77.16,94,100,13.8,moderate rain
4,Rikitea,PF,-23.1203,-134.9692,75.49,79,5,21.88,clear sky
5,Hambantota,LK,6.1241,81.1185,70.14,100,20,3.44,few clouds
6,Saint-Philippe,RE,-21.3585,55.7679,72.99,85,20,9.42,light rain
7,La Virginia,CO,4.8997,-75.8825,71.15,82,20,5.75,few clouds
8,Quelimane,MZ,-17.8786,36.8883,76.95,94,20,2.3,few clouds
9,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,4.61,overcast clouds
10,Dillon,US,34.4166,-79.3712,50.25,64,0,8.75,clear sky
11,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,75,4.61,broken clouds
12,Severo-Kurilsk,RU,50.6789,156.125,28.49,64,100,9.64,overcast clouds
13,Dikson,RU,73.5069,80.5464,4.73,94,100,15.3,light snow
14,Verkhnevilyuysk,RU,63.4453,120.3167,-16.71,97,100,5.08,overcast clouds
15,Jamestown,US,42.097,-79.2353,27.72,56,100,5.75,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,51.91,71,40,23.02,scattered clouds
17,Inirida,CO,3.8653,-67.9239,72.55,97,98,0.2,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,-6.45,77,40,15.01,scattered clouds
19,Iqaluit,CA,63.7506,-68.5145,10.13,84,75,3.44,broken clouds
20,Meulaboh,ID,4.1363,96.1285,75.54,90,100,4.38,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,68.41,91,75,9.22,broken clouds
22,Padang,ID,-0.9492,100.3543,78.85,89,100,1.83,overcast clouds
23,Kodiak,US,57.79,-152.4072,27.66,64,8,8.46,clear sky
