City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2022-12-08 02:14:04,64.3833,-173.3,-5.91,63,100,4.92
1,Severo-Kurilsk,RU,2022-12-08 02:12:07,50.6789,156.125,-1.98,65,78,9.06
2,Rikitea,PF,2022-12-08 02:14:06,-23.1203,-134.9692,24.26,80,6,8.51
3,Chaiya,TH,2022-12-08 02:14:07,9.3862,99.1986,24.39,92,100,2.14
4,Bredasdorp,ZA,2022-12-08 02:14:08,-34.5322,20.0403,15.67,92,92,1.82
5,Solnechnyy,RU,2022-12-08 02:14:09,50.7214,136.6319,-12.47,57,8,1.42
6,Grindavik,IS,2022-12-08 02:14:10,63.8424,-22.4338,-1.74,74,40,3.09
7,Adrar,MR,2022-12-08 02:09:48,20.5022,-10.0711,25.25,35,49,1.78
8,Harlingen,US,2022-12-08 02:13:13,26.1906,-97.6961,24.05,97,75,7.2
9,Punta Arenas,CL,2022-12-08 02:10:30,-53.15,-70.9167,6.06,65,0,6.17
10,Raudeberg,NO,2022-12-08 02:09:35,61.9875,5.1352,0.48,1,100,5.64
11,Albany,US,2022-12-08 02:11:39,42.6001,-73.9662,11.43,87,100,1.34
12,Busselton,AU,2022-12-08 02:14:17,-33.65,115.3333,22.14,56,0,4.17
13,Byron Bay,AU,2022-12-08 02:14:18,-28.65,153.6167,29.41,69,12,3.97
14,Saskylakh,RU,2022-12-08 02:14:19,71.9167,114.0833,-33.96,100,100,2.81
15,Mar Del Plata,AR,2022-12-08 02:11:00,-38.0023,-57.5575,24.01,80,40,8.75
16,Tiksi,RU,2022-12-08 02:14:21,71.6872,128.8694,-21.6,98,100,5.36
17,Sawakin,SD,2022-12-08 02:12:35,19.1059,37.3321,24.68,71,80,4.43
18,Bitung,ID,2022-12-08 02:11:19,1.4451,125.1824,31.47,67,56,1.97
19,Ushuaia,AR,2022-12-08 02:14:25,-54.8,-68.3,5.81,56,40,6.69
20,Georgetown,MY,2022-12-08 02:10:03,5.4112,100.3354,28.96,76,20,2.57
21,Mehamn,NO,2022-12-08 02:14:26,71.0357,27.8492,1.95,75,100,8.75
22,Norman Wells,CA,2022-12-08 02:14:28,65.282,-126.8329,-28.88,86,90,3.36
23,Vaini,TO,2022-12-08 02:14:29,-21.2,-175.2,29.09,84,75,2.06
24,Kapaa,US,2022-12-08 02:14:30,22.0752,-159.319,27.99,80,75,7.72
25,Talnakh,RU,2022-12-08 02:12:17,69.4865,88.3972,-29.33,100,100,1.26
26,Saint-Philippe,RE,2022-12-08 02:09:45,-21.3585,55.7679,23.77,87,43,6.03
27,Puerto Ayora,EC,2022-12-08 02:10:22,-0.7393,-90.3518,21.42,94,16,1.34
28,Hermanus,ZA,2022-12-08 02:14:34,-34.4187,19.2345,16.56,89,100,4.32
29,Bengkulu,ID,2022-12-08 02:14:35,-3.8004,102.2655,26.92,75,88,1.43
30,Avarua,CK,2022-12-08 02:09:41,-21.2078,-159.775,28.03,74,40,4.12
31,Balabac,PH,2022-12-08 02:14:37,7.9868,117.0645,28.27,75,70,6.8
32,Aklavik,CA,2022-12-08 02:10:12,68.2191,-135.0107,-28.56,85,40,4.66
33,Chokurdakh,RU,2022-12-08 02:14:39,70.6333,147.9167,-29.54,98,80,2.86
34,Lata,PT,2022-12-08 02:14:40,40.1629,-8.3327,12.26,92,100,3.31
35,Arraial Do Cabo,BR,2022-12-08 02:14:41,-22.9661,-42.0278,23.1,91,0,5.64
36,Bluff,NZ,2022-12-08 02:14:42,-46.6,168.3333,17.88,64,100,1.91
37,Cape Town,ZA,2022-12-08 02:10:10,-33.9258,18.4232,20.77,72,99,4.47
38,Colquechaca,BO,2022-12-08 02:14:44,-18.6667,-66.0167,0.31,81,99,1.14
39,Victoria,HK,2022-12-08 02:12:26,22.2855,114.1577,20.69,76,13,1.79
40,Dikson,RU,2022-12-08 02:14:46,73.5069,80.5464,-25.55,97,98,8.28
41,Haines Junction,CA,2022-12-08 02:14:47,60.7522,-137.5108,-8.6,97,99,0.62
42,Ambikapur,IN,2022-12-08 02:14:49,23.1167,83.2,11.09,50,99,0.87
43,Elliot Lake,CA,2022-12-08 02:14:50,46.3834,-82.6331,-5.44,81,98,5.04
44,Kamen-Rybolov,RU,2022-12-08 02:14:51,44.7481,132.0403,-6.0,58,6,3.1
45,Atuona,PF,2022-12-08 02:14:52,-9.8,-139.0333,25.74,73,18,7.81
46,Mahebourg,MU,2022-12-08 02:14:53,-20.4081,57.7,25.14,81,32,8.63
47,Saint-Joseph,RE,2022-12-08 02:14:54,-21.3667,55.6167,23.21,83,24,5.63
48,Suraabad,AZ,2022-12-08 02:14:55,40.8192,49.4687,4.58,96,100,3.37
49,New Norfolk,AU,2022-12-08 02:15:56,-42.7826,147.0587,12.73,46,58,2.68
50,Leningradskiy,RU,2022-12-08 02:15:58,69.3833,178.4167,-24.61,100,98,2.26
51,Kutum,SD,2022-12-08 02:15:59,14.2,24.6667,11.9,29,0,3.0
52,Clyde River,CA,2022-12-08 02:16:00,70.4692,-68.5914,-17.87,71,40,3.09
53,Saint George,US,2022-12-08 02:16:01,37.1041,-113.5841,5.53,84,0,2.57
54,Belyy Yar,RU,2022-12-08 02:16:02,53.6039,91.3903,-28.41,75,20,1.0
55,Klaksvik,FO,2022-12-08 02:16:03,62.2266,-6.589,0.51,71,100,14.18
56,Cristian,RO,2022-12-08 02:16:04,45.6167,25.4667,4.82,100,100,0.05
